"kelp_category","n_basins","puget_sound_pct_of_prior_avg"
"ak_acid_weed",9,89.54
"ak_broad-ribbed_kelp",8,204.26
"ak_bull_kelp",8,181.35
"ak_feather_boa_n",3,10.19
"ak_five-ribbed_kelp",8,143.24
"ak_giant_kelp_n",1,207.25
"ak_sieve_kelp",9,143.68
"ak_sugar_kelp",9,94.47
"ak_three-ribbed_kelp",7,110.95
"ak_torn_kelp",6,98.73
"ak_winged_kelp",8,86.44
"ak_wire_weed",8,240.69
"ak_woody_kelp",7,230.82
